"id","muestra","feature_id","feature_type","conteo_crudo","microbiota","tipo_tiempo"
"131","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00430","gene","2","1","preflight"
"132","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00495","gene","20","1","preflight"
"133","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00495","gene","20","1","preflight"
"134","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00525","gene","2","1","preflight"
"135","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00540","gene","114","1","preflight"
"136","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00540","gene","114","1","preflight"
"137","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01010","gene","21","1","preflight"
"138","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01010","gene","21","1","preflight"
"139","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01050","gene","2","1","preflight"
"140","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01055","gene","10","1","preflight"
"141","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01070","gene","53","1","preflight"
"142","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01070","gene","14","1","preflight"
"143","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01070","gene","14","1","preflight"
"144","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS01070","gene","1","1","preflight"
"145","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01070","gene","44","1","preflight"
"146","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_UMB","gene-SAR_RS01070","gene","34","1","preflight"
"147","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01070","gene","53","1","preflight"
"148","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01095","gene","6","1","preflight"
"149","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS01220","gene","26","1","preflight"
"150","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01340","gene","4","1","preflight"
"151","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01340","gene","4","1","preflight"
"152","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS01375","gene","126","1","preflight"
"153","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS01375","gene","126","1","preflight"
"154","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_UMB","gene-SAR_RS01475","gene","182","1","preflight"
"155","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01775","gene","6","1","preflight"
"156","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01775","gene","39","1","preflight"
"157","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01775","gene","6","1","preflight"
"158","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01805","gene","7","1","preflight"
"159","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01805","gene","7","1","preflight"
"160","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01810","gene","12","1","preflight"
"161","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01810","gene","34","1","preflight"
"162","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS01810","gene","24","1","preflight"
"163","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01810","gene","12","1","preflight"
"164","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01820","gene","301","1","preflight"
"165","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01820","gene","27","1","preflight"
"166","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01820","gene","27","1","preflight"
"167","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01820","gene","195","1","preflight"
"168","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS01820","gene","190","1","preflight"
"169","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS01820","gene","107","1","preflight"
"170","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01820","gene","301","1","preflight"
"171","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01825","gene","192","1","preflight"
"172","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01825","gene","18","1","preflight"
"173","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01825","gene","18","1","preflight"
"174","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01825","gene","84","1","preflight"
"175","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS01825","gene","103","1","preflight"
"176","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS01825","gene","86","1","preflight"
"177","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01825","gene","192","1","preflight"
"178","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01830","gene","193","1","preflight"
"179","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01830","gene","58","1","preflight"
"180","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS01830","gene","58","1","preflight"
"181","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS01830","gene","233","1","preflight"
"182","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS01830","gene","262","1","preflight"
"183","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS01830","gene","66","1","preflight"
"184","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS01830","gene","193","1","preflight"
"185","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS01840","gene","6","1","preflight"
"186","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS01965","gene","418","1","preflight"
"187","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS01965","gene","418","1","preflight"
"188","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02005","gene","1","1","preflight"
"189","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02005","gene","1","1","preflight"
"190","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS02005","gene","1","1","preflight"
"191","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS02005","gene","1","1","preflight"
"192","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02010","gene","373","1","preflight"
"193","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02010","gene","3","1","preflight"
"194","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02010","gene","3","1","preflight"
"195","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS02010","gene","29","1","preflight"
"196","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS02010","gene","93","1","preflight"
"197","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS02010","gene","67","1","preflight"
"198","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02010","gene","373","1","preflight"
"199","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS02045","gene","1","1","preflight"
"200","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02055","gene","10","1","preflight"
"201","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02055","gene","70","1","preflight"
"202","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS02055","gene","70","1","preflight"
"203","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02055","gene","10","1","preflight"
"204","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS02055","gene","98","1","preflight"
"205","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS02055","gene","24","1","preflight"
"206","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_UMB","gene-SAR_RS02055","gene","92","1","preflight"
"207","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02060","gene","1","1","preflight"
"208","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS02060","gene","1","1","preflight"
"209","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02060","gene","1","1","preflight"
"210","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS02350","gene","2","1","preflight"
"211","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02350","gene","54","1","preflight"
"212","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS02350","gene","2","1","preflight"
"213","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS02350","gene","10","1","preflight"
"214","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS02350","gene","106","1","preflight"
"215","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS02350","gene","34","1","preflight"
"216","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS02350","gene","54","1","preflight"
"217","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02360","gene","5","1","preflight"
"218","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02360","gene","5","1","preflight"
"219","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02365","gene","143","1","preflight"
"220","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS02365","gene","143","1","preflight"
"221","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_UMB","gene-SAR_RS02365","gene","266","1","preflight"
"222","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS14895","gene","2129","1","preflight"
"223","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS14895","gene","268932","1","preflight"
"224","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS14895","gene","2129","1","preflight"
"225","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS14895","gene","2204","1","preflight"
